id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US01117,"Shelby County, Alabama",14383,4671,25382,8406,41853,82479,79640,75887,21899,18261,14806,5271
0500000US01121,"Talladega County, Alabama",4665,1418,8292,3236,14605,31189,30197,28842,8991,8219,6558,2343
0500000US01125,"Tuscaloosa County, Alabama",11739,3975,21652,16487,47808,80653,77924,68844,18110,15648,11969,4098
0500000US04021,"Pinal County, Arizona",30310,8589,52140,21321,94171,187209,181152,170711,56331,50694,43946,18040
0500000US06045,"Mendocino County, California",5290,1457,9033,3363,15460,35261,33984,32408,12178,10907,8725,2825
0500000US06059,"Orange County, California",198857,63093,357863,148522,652305,1257540,1215326,1149117,300043,258277,208991,85637
0500000US06067,"Sacramento County, California",104885,30680,185405,67423,321026,587449,567437,540893,138464,119253,93987,35931
0500000US12017,"Citrus County, Florida",6193,2019,10741,4538,18437,62751,61363,58951,32959,30451,26184,11726
0500000US17143,"Peoria County, Illinois",11906,3501,21480,8400,34723,68927,66338,62267,19618,17379,13125,5142
0500000US18059,"Hancock County, Indiana",5033,1515,8866,2783,13721,29414,28535,27477,8040,6938,6304,2066
0500000US18067,"Howard County, Indiana",5518,1512,9553,3058,14180,31047,30122,29096,9393,8136,6965,2907
0500000US22105,"Tangipahoa Parish, Louisiana",9631,2572,16920,6876,26028,49920,48231,45018,11903,10072,8405,2913
0500000US25003,"Berkshire County, Massachusetts",6202,2463,11413,5748,21509,51950,50086,47309,17889,16756,12765,5093
0500000US27139,"Scott County, Minnesota",11853,3053,20118,6095,28211,54409,52434,49346,10252,9039,7451,2805
0500000US36087,"Rockland County, New York",25641,8429,47212,15600,61105,118802,113018,105776,31462,28264,21973,9085
0500000US36105,"Sullivan County, New York",4689,1663,8306,3453,13801,31933,30552,28569,9530,8666,7082,2534
0500000US37037,"Chatham County, North Carolina",4932,1225,7639,2392,10385,N,27582,26332,10858,9998,8175,3053
0500000US37085,"Harnett County, North Carolina",9932,2787,18208,6239,28365,50670,48630,45969,10832,9499,7294,2962
0500000US37195,"Wilson County, North Carolina",5430,1028,8422,3778,13741,29573,28845,26353,9148,7389,6264,2114
0500000US39007,"Ashtabula County, Ohio",6485,1711,11309,3879,17303,39233,38003,36024,11863,10096,8304,3298
0500000US39013,"Belmont County, Ohio",3948,1210,6702,2446,12635,28547,27817,26719,9204,7628,6440,2299
0500000US40031,"Comanche County, Oklahoma",8080,2111,14241,9329,29461,49620,48317,43236,9890,8301,6863,2635
0500000US42013,"Blair County, Pennsylvania",7005,2198,12349,5126,21765,48628,46879,44553,14922,13236,11026,4343
0500000US42039,"Crawford County, Pennsylvania",4947,1739,9009,3961,14687,33640,32594,31013,11317,9842,8177,3237
0500000US42051,"Fayette County, Pennsylvania",7027,2128,12468,4706,23276,53503,51904,50132,17404,15566,12080,4708
0500000US47113,"Madison County, Tennessee",6357,2182,11490,4560,18181,36591,35019,32716,10574,9219,7249,2602
0500000US48027,"Bell County, Texas",27698,7606,50653,22009,81817,131852,126428,117915,24038,21145,16958,6601
0500000US48061,"Cameron County, Texas",36865,11345,65717,23240,85633,148454,140336,128637,32776,29966,25318,10533
0500000US49057,"Weber County, Utah",20774,6123,36502,12509,56973,95536,91796,86428,19111,16631,13725,5010
0500000US51165,"Rockingham County, Virginia",5354,1410,8959,3458,14010,31701,30613,29099,9774,8359,6952,2859
0500000US51700,"Newport News city, Virginia",11520,3873,21898,11435,39857,67866,65243,59047,15972,12814,9855,3571
0500000US51710,"Norfolk city, Virginia",12899,3139,24163,26856,70483,105145,102935,93361,17829,14985,11486,4129
0500000US51810,"Virginia Beach city, Virginia",28268,8344,50955,22574,98701,176167,170322,162303,39206,34624,27362,10730
0500000US53007,"Chelan County, Washington",5511,1105,9050,3369,13858,N,29536,28141,9282,8366,6817,2753
0500000US01015,"Calhoun County, Alabama",6669,1935,12399,5613,21660,44256,42655,39902,12107,10741,8619,3101
0500000US08005,"Arapahoe County, Colorado",44591,13219,78200,28037,140449,254268,244968,232821,56197,48423,37539,12552
0500000US13013,"Barrow County, Georgia",6534,2093,11313,3440,16329,30141,28604,27215,6251,5527,4294,1431
0500000US13157,"Jackson County, Georgia",5183,1705,9132,2483,13261,26773,25630,24376,6708,5798,4782,1847
0500000US13245,"Richmond County, Georgia",13337,3690,21787,12996,44781,77057,74317,69441,17880,15040,11699,4115
0500000US13285,"Troup County, Georgia",4628,1822,8440,4077,14250,N,24522,23339,6154,5581,4105,1397
0500000US19061,"Dubuque County, Iowa",5355,1891,10392,5064,19274,38883,37484,35106,10798,9672,7617,3032
0500000US21227,"Warren County, Kentucky",9129,2279,15410,10179,29449,51022,49276,44108,10291,9243,7905,2763
0500000US27019,"Carver County, Minnesota",7817,2888,13837,4261,19661,38618,36799,35140,8199,7030,5591,2108
0500000US28075,"Lauderdale County, Mississippi",5283,947,8545,3770,13776,28026,27556,25357,7847,6894,5532,2150
0500000US28081,"Lee County, Mississippi",5966,1672,10414,4864,16930,31698,30639,28156,7614,6476,4802,1700
0500000US28121,"Rankin County, Mississippi",10401,3443,18570,6316,30686,58606,56046,53085,13816,12545,10165,3572
0500000US36111,"Ulster County, New York",9371,2657,15602,8705,34365,74374,72940,69701,22680,19132,15852,6184
0500000US37183,"Wake County, North Carolina",75406,22768,132966,49678,230557,413468,398642,376103,81397,68842,54782,19016
0500000US39093,"Lorain County, Ohio",19624,6465,35350,14315,56798,121629,117187,110395,35411,31271,25013,9758
0500000US40119,"Payne County, Oklahoma",4517,1694,8266,11108,23487,34512,33764,28629,6718,5411,4839,1852
0500000US40131,"Rogers County, Oklahoma",6222,1982,11016,3988,17442,35908,34779,33067,9534,8784,6876,2737
0500000US42081,"Lycoming County, Pennsylvania",6529,1715,11172,5622,20710,44682,43497,39547,13876,12113,9697,3850
0500000US45015,"Berkeley County, South Carolina",15479,4396,27780,11832,46973,85548,83008,76933,20303,18043,14035,4896
0500000US45085,"Sumter County, South Carolina",7010,2005,13127,5690,20999,39850,38403,36298,10705,9564,7300,2875
0500000US47147,"Robertson County, Tennessee",4847,1368,8460,3145,13232,27320,26498,25189,6956,5952,4701,1679
0500000US48085,"Collin County, Texas",76728,24288,132804,42174,206820,377006,361905,342176,72207,61013,48384,16919
0500000US49045,"Tooele County, Utah",6864,2191,11950,3288,15561,N,23766,22248,5154,4269,3163,1359
0500000US53041,"Lewis County, Washington",4663,1510,8960,3118,14103,31892,31009,29536,10885,9949,7982,3022
0500000US53053,"Pierce County, Washington",60268,16549,107420,41998,189583,346977,336358,319888,82272,71066,55313,19569
0500000US54061,"Monongalia County, West Virginia",5337,1384,9458,11984,29957,46693,45665,40494,9169,8012,6146,2316
0500000US55009,"Brown County, Wisconsin",17928,5259,32043,12260,52193,103016,98959,92592,26408,22613,17727,6885
0500000US06115,"Yuba County, California",6204,1901,11356,3927,16911,29719,28463,27370,6912,5841,4222,1459
0500000US13051,"Chatham County, Georgia",17384,4770,31248,15664,60887,110605,107752,101843,25846,23175,18808,7017
0500000US13063,"Clayton County, Georgia",23453,6182,40366,14740,58205,99707,94751,88568,17568,14922,11264,3154
0500000US13113,"Fayette County, Georgia",8110,3181,13833,5135,19017,43653,41547,38424,12679,11264,9045,3234
0500000US13223,"Paulding County, Georgia",12491,3755,21897,6648,32862,61151,58096,54411,10770,9478,7647,3031
0500000US17043,"DuPage County, Illinois",60319,19776,108381,40774,180659,361690,348335,330930,94918,81208,63642,22925
0500000US17089,"Kane County, Illinois",39263,13077,69860,25008,106835,206020,196464,184737,47771,40492,32988,11953
0500000US18089,"Lake County, Indiana",32557,10301,57884,21703,90699,183761,176800,167918,50384,44305,34435,13207
0500000US21059,"Daviess County, Kentucky",7148,2142,12803,4278,18930,37829,36672,34630,10601,9082,7329,2803
0500000US21185,"Oldham County, Kentucky",5083,1604,8242,3081,14299,27534,26507,24917,6097,4894,4076,1348
0500000US25009,"Essex County, Massachusetts",47712,15761,86092,37313,147456,306342,295777,278843,82713,72944,58042,21902
0500000US26163,"Wayne County, Michigan",116261,36701,211644,76109,332921,656731,633297,600105,170135,146623,114333,43301
0500000US29165,"Platte County, Missouri",7685,2207,12858,4079,20165,39320,37919,36382,10262,8677,6848,2336
0500000US36053,"Madison County, New York",3865,1219,6680,4796,13212,28769,28139,24858,9167,7863,6028,2239
0500000US37159,"Rowan County, North Carolina",10984,3606,18255,5713,26555,55185,53042,50268,14620,13377,11068,4114
0500000US39029,"Columbiana County, Ohio",5781,1900,10222,4453,18526,42909,41367,39652,13403,11656,9721,3502
0500000US41059,"Umatilla County, Oregon",5849,1635,9447,3951,16528,31443,30341,28764,8076,6617,5632,2103
0500000US42045,"Delaware County, Pennsylvania",35030,11289,63560,27882,108718,215568,208527,194808,56885,49372,39202,15574
0500000US42073,"Lawrence County, Pennsylvania",4564,1924,8554,3402,14972,34669,33365,32241,11812,10023,8227,3408
0500000US47157,"Shelby County, Tennessee",66211,19266,118335,43087,184965,339535,326943,307821,82531,70795,52975,18217
0500000US04003,"Cochise County, Arizona",7727,2065,14015,6199,24314,52062,50980,47126,18794,16473,13628,5627
0500000US04005,"Coconino County, Arizona",8789,2674,15138,13254,34097,57225,55383,49053,12494,10939,8589,2945
0500000US06023,"Humboldt County, California",7853,2170,14056,8388,29643,55926,54666,51145,16721,14584,11153,3815
0500000US06039,"Madera County, California",12217,3401,21454,7307,30915,57485,55119,51413,14381,12596,10906,4104
0500000US12097,"Osceola County, Florida",26113,7920,43737,18472,79563,140865,135418,128598,30650,27149,21498,7742
0500000US13059,"Clarke County, Georgia",6139,1866,11358,17264,35319,51130,49764,41866,9181,8388,6792,2143
0500000US13313,"Whitfield County, Georgia",7538,3269,14238,4975,21542,39371,37383,35046,8657,8091,6846,2326
0500000US16019,"Bonneville County, Idaho",11132,2814,18680,4705,23316,41673,40158,38402,9766,8499,6886,2614
0500000US22109,"Terrebonne Parish, Louisiana",8470,2347,14245,5165,21311,40470,39069,37035,10398,9050,7113,2464
0500000US24015,"Cecil County, Maryland",6445,2267,11733,4759,19087,40701,39062,37305,11344,9872,7619,2675
0500000US24037,"St. Mary's County, Maryland",7862,2901,13546,5648,22354,44124,41977,39610,10504,8620,6818,2868
0500000US25001,"Barnstable County, Massachusetts",10044,3371,16611,7805,30321,87194,84572,81314,36902,34069,28524,11700
0500000US25021,"Norfolk County, Massachusetts",41831,13889,74926,30054,132014,272537,263909,252940,72778,63235,50510,20752
0500000US27163,"Washington County, Minnesota",18655,6138,32419,10336,49878,100147,95883,91155,25056,21767,17566,6635
0500000US34033,"Salem County, New Jersey",4577,1234,7444,2409,11291,24403,23375,22512,7820,6450,5380,2064
0500000US34035,"Somerset County, New Jersey",21306,7160,37261,14829,60879,128764,124675,117964,34182,29661,22209,9214
0500000US36081,"Queens County, New York",126119,36515,234957,86444,461310,895281,870620,834484,216004,185857,151243,60388
0500000US36119,"Westchester County, New York",61358,20296,109402,42202,179145,374378,359435,340701,98942,86113,70421,29628
0500000US37109,"Lincoln County, North Carolina",5035,1852,9077,2789,14135,33476,32286,30798,9102,7559,6379,2335
0500000US42003,"Allegheny County, Pennsylvania",63966,19529,116071,53375,240002,485645,472588,450315,140250,122379,96901,38698
0500000US45035,"Dorchester County, South Carolina",11924,3706,20360,7279,32275,60465,57991,54169,13891,12016,9944,3386
0500000US48231,"Hunt County, Texas",6716,2148,12056,4787,19175,37222,35828,33548,10462,9231,6715,2621
0500000US51650,"Hampton city, Virginia",7292,2249,13835,8397,28633,52146,50609,47277,12026,9962,8612,3213
0500000US01077,"Lauderdale County, Alabama",5672,2213,10400,4556,17547,36584,35246,32935,10908,10288,8073,3286
0500000US09011,"New London County, Connecticut",15224,4781,26266,14105,53090,110630,107319,101812,32650,28016,22128,8770
0500000US17167,"Sangamon County, Illinois",12902,4344,22756,8232,35949,75378,72065,68643,21485,19347,14867,5593
0500000US21111,"Jefferson County, Kentucky",48240,14269,87228,33136,151556,294789,285119,270687,76045,65904,52782,19540
0500000US21151,"Madison County, Kentucky",5471,1556,9337,7820,21014,36627,35884,32513,8220,6763,5656,2033
0500000US22015,"Bossier Parish, Louisiana",9672,2015,15688,6611,27162,47893,46447,44000,11140,9622,7762,2829
0500000US24009,"Calvert County, Maryland",6751,2319,11624,3477,16963,35949,34597,33231,9219,8054,6230,2222
0500000US26025,"Calhoun County, Michigan",8846,2721,16253,5495,24138,51891,49873,47130,15694,13340,10873,4303
0500000US34025,"Monmouth County, New Jersey",38215,13203,67419,25761,108591,243997,235224,223698,71017,60481,47681,18244
0500000US37119,"Mecklenburg County, North Carolina",72183,21202,130801,48292,238101,408966,395621,375920,78588,67183,51462,17632
0500000US39055,"Geauga County, Ohio",6072,2213,10816,4579,15600,37291,35908,33732,12636,10961,8956,3526
0500000US39119,"Muskingum County, Ohio",5459,1998,10009,3671,15840,33868,32134,30613,9924,8289,6622,2616
0500000US41043,"Linn County, Oregon",7829,2651,14429,5071,23596,49580,48232,45457,15233,14046,11509,4492
0500000US42017,"Bucks County, Pennsylvania",37090,12512,65392,25910,110365,251213,242732,231759,74747,65340,52310,20638
0500000US42095,"Northampton County, Pennsylvania",18324,5952,31524,16757,57562,122375,118451,109283,34357,30408,24988,10329
0500000US45075,"Orangeburg County, South Carolina",5724,1428,9419,4261,15651,32452,31544,29017,9851,8701,7167,2676
0500000US48029,"Bexar County, Texas",143627,42422,258385,106882,445461,751521,722215,675150,149525,131188,104296,38561
0500000US48091,"Comal County, Texas",9705,3290,17464,5901,27516,59244,56318,53219,18127,15008,12419,4648
0500000US48361,"Orange County, Texas",5489,2246,10958,4087,16585,32183,30562,29358,8965,7366,5953,2401
0500000US48497,"Wise County, Texas",4729,1693,8523,2991,12332,N,25602,23678,7606,6623,4925,1824
0500000US53009,"Clallam County, Washington",3817,1139,6890,2888,12307,32389,31500,30171,13031,11849,10281,4301
0500000US72021,"Bayamón Municipio, Puerto Rico",8719,3024,15203,8580,32964,67346,65008,61345,19353,17808,15325,7488
0500000US72137,"Toa Baja Municipio, Puerto Rico",4098,1414,7056,3597,14323,28882,27800,26082,8212,7273,6262,2743
0500000US04025,"Yavapai County, Arizona",10948,2981,19260,8416,31235,95899,93751,89327,44962,41391,34951,14069
0500000US13097,"Douglas County, Georgia",11095,3731,18861,7756,28890,52769,50525,45532,11736,9879,7775,2685
0500000US13135,"Gwinnett County, Georgia",72087,22944,126103,43000,190705,342793,326204,306974,64447,54687,40753,14024
0500000US15007,"Kauai County, Hawaii",4542,1671,8795,2381,12779,28832,27688,26182,9761,8296,6835,2325
0500000US16027,"Canyon County, Idaho",18011,5692,31815,11246,46084,82343,78984,73607,19865,18602,14426,5519
0500000US18019,"Clark County, Indiana",7660,2098,13461,4281,22842,44592,43378,40991,11848,10002,7717,2709
0500000US19013,"Black Hawk County, Iowa",8359,2564,14714,9416,28720,52324,50417,46231,13468,11861,9576,3808
0500000US21015,"Boone County, Kentucky",10200,3520,18311,5448,26184,49546,47629,45123,11291,10013,7821,2733
0500000US22051,"Jefferson Parish, Louisiana",26241,7548,48334,16631,81540,166955,161637,154459,45265,39915,32262,12194
0500000US23031,"York County, Maine",11503,3542,20189,7420,34781,82345,79974,77256,26684,22774,18644,6963
0500000US24027,"Howard County, Maryland",23138,7237,40185,13380,61526,121855,117406,112028,29028,25626,19882,6809
0500000US24031,"Montgomery County, Maryland",70254,20943,124627,42017,199551,398289,384753,366718,102506,89200,70804,28260
0500000US27053,"Hennepin County, Minnesota",76955,21885,140502,53577,272017,497258,482818,459915,113667,98630,77830,29426
0500000US28067,"Jones County, Mississippi",4555,1341,8021,2887,12842,N,24841,23049,7827,6288,5395,1818
0500000US29510,"St. Louis city, Missouri",15544,3954,29155,13455,67029,120628,117767,113770,28763,24032,17629,6051
0500000US34013,"Essex County, New Jersey",53888,15618,96383,35434,159314,298563,288582,273081,66930,59649,44356,17021
0500000US34021,"Mercer County, New Jersey",22414,6806,39943,20790,74807,145355,140654,133966,35254,29479,23863,8960
0500000US36113,"Warren County, New York",3210,1273,5961,2346,11122,26946,25946,24896,9896,8354,6624,2455
0500000US36117,"Wayne County, New York",5831,1545,9879,3400,15449,35859,34911,33389,11198,9885,7978,3088
0500000US37129,"New Hanover County, North Carolina",13323,3864,22490,15050,47749,92475,89531,83833,24835,22565,17983,6937
0500000US39081,"Jefferson County, Ohio",3741,1410,6829,2984,11438,26353,25525,24722,8897,8184,6384,2527
0500000US42085,"Mercer County, Pennsylvania",6617,1941,11257,5422,20029,44867,43832,41199,14501,12892,10534,4214
0500000US42111,"Somerset County, Pennsylvania",3695,1272,6724,2670,13985,32772,31709,30512,10543,9250,7526,2982
0500000US51800,"Suffolk city, Virginia",6324,2450,11792,3590,17493,34757,32653,31392,9027,7712,5816,2175
0500000US53033,"King County, Washington",128667,35574,230598,92357,514220,913036,890547,854217,191334,166186,130945,48234
0500000US54033,"Harrison County, West Virginia",4063,1627,7444,2409,11769,26795,25569,24650,8800,7870,5808,2256
0500000US06111,"Ventura County, California",55985,17055,98815,40904,170267,334730,322092,304122,83799,72701,59007,23341
0500000US09005,"Litchfield County, Connecticut",9781,3396,17077,6853,29524,74507,72577,69524,25908,22568,17677,6579
0500000US09007,"Middlesex County, Connecticut",8355,2784,14229,7716,28871,65873,64167,60164,20896,17698,14381,5679
0500000US12023,"Columbia County, Florida",4899,777,7153,3676,14184,28807,28402,26187,8132,7269,5903,2511
0500000US13047,"Catoosa County, Georgia",4432,1564,8524,2475,12374,N,24917,23911,7694,6526,5139,1975
0500000US13247,"Rockdale County, Georgia",6934,1975,11717,4118,16008,32448,31045,28714,8405,7185,5496,2090
0500000US13297,"Walton County, Georgia",6810,1945,11746,3712,16302,34884,33181,31437,8060,7312,6410,2518
0500000US16005,"Bannock County, Idaho",5808,2371,11133,4828,19103,34468,32386,29995,8522,7184,5908,2203
0500000US24003,"Anne Arundel County, Maryland",36584,10444,65036,27822,118134,226965,220508,209798,55296,48949,37591,14663
0500000US28033,"DeSoto County, Mississippi",13436,4845,24230,7879,35925,67151,63714,59236,15083,13244,10042,3686
0500000US29097,"Jasper County, Missouri",8956,2448,15742,5626,23904,45163,43318,41359,10657,9426,7969,3194
0500000US30029,"Flathead County, Montana",6874,1886,11674,3921,18064,40925,39382,37602,14140,12600,9649,3337
0500000US35001,"Bernalillo County, New Mexico",43465,13157,75621,31908,139341,266590,257629,244090,68628,60215,49066,18335
0500000US36005,"Bronx County, New York",99397,29009,180348,71622,296096,512251,493603,465527,104335,90723,71944,28615
0500000US37019,"Brunswick County, North Carolina",5871,2036,10592,4395,17761,56362,54728,52132,26759,24783,21125,6618
0500000US37021,"Buncombe County, North Carolina",12622,4298,23828,9710,48762,102568,99947,96248,31477,27692,22596,8615
0500000US37127,"Nash County, North Carolina",6208,1420,10984,3856,16734,36056,34905,32835,10709,9226,7512,2584
0500000US37193,"Wilkes County, North Carolina",3551,1677,6915,2536,11714,27145,26345,24231,9028,8351,6358,2529
0500000US39035,"Cuyahoga County, Ohio",72077,22531,131262,54611,232045,475968,461888,440527,137339,119696,95041,37986
0500000US39061,"Hamilton County, Ohio",52568,15208,94953,38383,162091,308756,299253,282841,77747,67819,53129,20394
0500000US39165,"Warren County, Ohio",17297,5269,29079,9455,46505,91285,88188,84436,20887,19096,14714,5415
0500000US40017,"Canadian County, Oklahoma",10602,2762,18848,5901,29612,53420,51944,49063,12193,10676,8084,2986
0500000US42029,"Chester County, Pennsylvania",34740,11177,60752,23486,97952,204680,196867,187563,56323,49597,38214,14873
0500000US42077,"Lehigh County, Pennsylvania",24179,7335,43030,16897,71387,142345,137270,129864,38008,33603,27203,10606
0500000US45063,"Lexington County, South Carolina",20113,5874,34504,10968,55343,112236,108313,102702,29652,25754,20585,7384
0500000US47119,"Maury County, Tennessee",6453,2174,11845,3509,17811,N,34311,32581,9617,8374,6824,2553
0500000US47189,"Wilson County, Tennessee",10482,3255,17933,5044,25924,53326,51267,49051,14217,12939,10301,3625
0500000US48203,"Harrison County, Texas",5251,1645,8337,3758,13066,24716,23896,22687,7196,6463,4759,1524
0500000US51041,"Chesterfield County, Virginia",23962,7826,43409,15099,65277,130876,125246,118652,33994,31144,23238,7531
0500000US55131,"Washington County, Wisconsin",8342,2715,14707,4754,23744,54154,52383,50339,16407,14118,11145,4358
0500000US09003,"Hartford County, Connecticut",53304,17680,95536,41884,174190,351613,338830,319970,92487,81087,65168,26282
0500000US12033,"Escambia County, Florida",18776,5198,34412,19925,66963,126449,122585,112439,33346,29061,23210,9011
0500000US18039,"Elkhart County, Indiana",16191,4412,28676,9573,40315,75410,72756,68612,18193,15654,12720,5167
0500000US18109,"Morgan County, Indiana",5073,1485,8603,2932,12088,27424,26368,25188,7767,6828,5340,1936
0500000US19049,"Dallas County, Iowa",7447,2180,12997,3493,18462,32508,31135,29760,6126,5371,4542,1714
0500000US23011,"Kennebec County, Maine",6457,2033,11463,5573,21579,49257,47794,45922,16126,14354,11153,4238
0500000US26049,"Genesee County, Michigan",26530,8251,46785,17656,73053,154626,149183,141312,44800,37941,31027,12029
0500000US26087,"Lapeer County, Michigan",5525,1956,9611,3586,15673,36357,35171,33641,11171,9589,7664,2659
0500000US26145,"Saginaw County, Michigan",11680,3770,21454,10055,35445,74291,71939,66479,22599,19616,16240,6587
0500000US30013,"Cascade County, Montana",5257,1331,9608,3614,16293,32633,32022,30490,10145,9325,7088,2884
0500000US32003,"Clark County, Nevada",149013,43730,264050,93824,460138,877789,848568,806400,214763,189307,152960,57996
0500000US36007,"Broome County, New York",10278,3141,18405,13217,38163,76594,74745,68534,22735,19258,15680,6626
0500000US36027,"Dutchess County, New York",15864,5557,28238,15856,57582,121722,117918,110985,34164,30140,23127,9161
0500000US37023,"Burke County, North Carolina",5302,1551,9111,3233,15879,36955,35904,35103,11463,10283,8028,3190
0500000US37035,"Catawba County, North Carolina",9938,2842,17056,6537,28488,61725,59555,56235,17914,15540,12222,4295
0500000US37125,"Moore County, North Carolina",5421,3251,11170,3887,17798,38996,36980,34693,14308,12675,10448,4808
0500000US39009,"Athens County, Ohio",2938,1218,5454,9758,18366,28773,27865,23295,5652,4928,3809,1281
0500000US39023,"Clark County, Ohio",8816,2747,15437,5724,23598,51669,49577,46716,16052,14307,11414,4560
0500000US39099,"Mahoning County, Ohio",12845,4831,24007,11301,42327,93106,89220,83962,30516,26730,20915,8239
0500000US45051,"Horry County, South Carolina",18049,5777,32312,12413,57509,138206,134370,127100,50639,46293,39336,12440
0500000US47093,"Knox County, Tennessee",28074,8098,49449,27987,95523,180902,175815,163090,45231,39078,31784,11934
0500000US51061,"Fauquier County, Virginia",4262,1846,8340,2658,13040,27118,26174,24450,7425,6746,5452,2081
0500000US72127,"San Juan Municipio, Puerto Rico",15654,5695,28016,14547,56429,121695,118671,112823,39664,35195,29572,14007
0500000US01069,"Houston County, Alabama",7038,2164,12580,4200,19002,39352,37820,36018,11362,9970,8075,3097
0500000US06083,"Santa Barbara County, California",28280,8125,50580,35533,101220,179030,172828,157117,43560,38392,30733,13017
