id,Geographic Area Name,Worked in state of residence,Worked in county of residence,Worked outside county of residence,Worked outside state of residence,Living in a place,Worked in place of residence,Worked outside place of residence,Not living in a place,Living in 12 selected states,Worked in minor civil division of residence,Worked outside minor civil division of residence,Not living in 12 selected states
0500000US01117,"Shelby County, Alabama",99.4,49.7,49.7,0.6,85.5,15.8,69.7,14.5,N,N,N,N
0500000US01121,"Talladega County, Alabama",98.9,62.9,36.0,1.1,64.2,20.8,43.4,35.8,N,N,N,N
0500000US01125,"Tuscaloosa County, Alabama",99.0,90.1,8.9,1.0,67.7,39.4,28.3,32.3,N,N,N,N
0500000US04021,"Pinal County, Arizona",99.1,54.5,44.6,0.9,82.9,21.7,61.2,17.1,N,N,N,N
0500000US06045,"Mendocino County, California",99.8,93.6,6.2,0.2,51.5,27.3,24.1,48.5,N,N,N,N
0500000US06059,"Orange County, California",99.6,84.4,15.1,0.4,98.8,23.5,75.3,1.2,N,N,N,N
0500000US06067,"Sacramento County, California",99.6,80.9,18.7,0.4,98.8,31.6,67.3,1.2,N,N,N,N
0500000US12017,"Citrus County, Florida",98.4,74.8,23.6,1.6,71.2,10.5,60.7,28.8,N,N,N,N
0500000US17143,"Peoria County, Illinois",99.6,80.1,19.5,0.4,82.7,48.5,34.2,17.3,N,N,N,N
0500000US18059,"Hancock County, Indiana",99.9,37.0,62.9,0.1,57.9,16.0,41.9,42.1,N,N,N,N
0500000US18067,"Howard County, Indiana",99.2,77.9,21.3,0.8,75.7,51.1,24.6,24.3,N,N,N,N
0500000US22105,"Tangipahoa Parish, Louisiana",97.9,61.4,36.5,2.1,33.2,12.4,20.8,66.8,N,N,N,N
0500000US25003,"Berkshire County, Massachusetts",95.8,92.9,2.9,4.2,58.9,31.8,27.1,41.1,100.0,42.8,57.2,0.0
0500000US27139,"Scott County, Minnesota",99.8,41.0,58.8,0.2,83.3,20.7,62.5,16.7,100.0,23.7,76.3,0.0
0500000US36087,"Rockland County, New York",87.7,58.7,29.0,12.3,94.8,14.9,79.9,5.2,100.0,32.2,67.8,0.0
0500000US36105,"Sullivan County, New York",96.2,70.4,25.8,3.8,25.6,8.0,17.6,74.4,100.0,29.4,70.6,0.0
0500000US37037,"Chatham County, North Carolina",99.1,41.1,58.0,0.9,20.0,4.4,15.6,80.0,N,N,N,N
0500000US37085,"Harnett County, North Carolina",99.3,37.1,62.2,0.7,23.1,5.5,17.5,76.9,N,N,N,N
0500000US37195,"Wilson County, North Carolina",98.1,72.9,25.2,1.9,65.6,42.2,23.4,34.4,N,N,N,N
0500000US39007,"Ashtabula County, Ohio",95.5,69.4,26.0,4.5,50.6,16.6,34.0,49.4,N,N,N,N
0500000US39013,"Belmont County, Ohio",62.5,56.8,5.8,37.5,52.0,7.4,44.6,48.0,N,N,N,N
0500000US40031,"Comanche County, Oklahoma",97.6,93.2,4.4,2.4,84.6,67.6,17.0,15.4,N,N,N,N
0500000US42013,"Blair County, Pennsylvania",99.8,87.6,12.2,0.2,56.7,21.3,35.5,43.3,100.0,29.6,70.4,0.0
0500000US42039,"Crawford County, Pennsylvania",98.6,78.4,20.2,1.4,39.5,16.1,23.4,60.5,100.0,23.8,76.2,0.0
0500000US42051,"Fayette County, Pennsylvania",92.6,60.9,31.7,7.4,44.4,5.1,39.3,55.6,100.0,16.7,83.3,0.0
0500000US47113,"Madison County, Tennessee",99.2,87.1,12.0,0.8,69.6,56.9,12.6,30.4,N,N,N,N
0500000US48027,"Bell County, Texas",99.2,86.4,12.8,0.8,86.8,38.0,48.8,13.2,N,N,N,N
0500000US48061,"Cameron County, Texas",98.4,90.3,8.1,1.6,84.3,48.5,35.8,15.7,N,N,N,N
0500000US49057,"Weber County, Utah",99.5,66.8,32.7,0.5,95.9,27.1,68.8,4.1,N,N,N,N
0500000US51165,"Rockingham County, Virginia",98.9,44.7,54.3,1.1,42.4,5.4,37.0,57.6,N,N,N,N
0500000US51700,"Newport News city, Virginia",99.2,61.3,37.9,0.8,100.0,61.3,38.7,0.0,N,N,N,N
0500000US51710,"Norfolk city, Virginia",99.2,68.6,30.6,0.8,100.0,68.6,31.4,0.0,N,N,N,N
0500000US51810,"Virginia Beach city, Virginia",98.9,65.2,33.7,1.1,100.0,65.2,34.8,0.0,N,N,N,N
0500000US53007,"Chelan County, Washington",99.6,84.4,15.3,0.4,72.9,44.2,28.7,27.1,N,N,N,N
0500000US01015,"Calhoun County, Alabama",98.2,73.5,24.7,1.8,72.4,18.8,53.7,27.6,N,N,N,N
0500000US08005,"Arapahoe County, Colorado",99.4,50.4,49.0,0.6,89.2,28.0,61.2,10.8,N,N,N,N
0500000US13013,"Barrow County, Georgia",98.9,28.4,70.6,1.1,43.1,6.3,36.7,56.9,N,N,N,N
0500000US13157,"Jackson County, Georgia",98.0,45.3,52.6,2.0,37.3,9.2,28.1,62.7,N,N,N,N
0500000US13245,"Richmond County, Georgia",91.0,73.9,17.2,9.0,100.0,72.0,28.0,0.0,N,N,N,N
0500000US13285,"Troup County, Georgia",97.4,74.8,22.6,2.6,51.6,27.0,24.6,48.4,N,N,N,N
0500000US19061,"Dubuque County, Iowa",95.8,92.0,3.8,4.2,81.5,53.6,27.9,18.5,N,N,N,N
0500000US21227,"Warren County, Kentucky",97.6,86.1,11.5,2.4,53.8,40.4,13.4,46.2,N,N,N,N
0500000US27019,"Carver County, Minnesota",99.5,38.6,60.9,0.5,88.7,17.2,71.5,11.3,100.0,19.2,80.8,0.0
0500000US28075,"Lauderdale County, Mississippi",95.9,87.6,8.3,4.1,51.6,35.2,16.4,48.4,N,N,N,N
0500000US28081,"Lee County, Mississippi",99.1,78.2,20.9,0.9,62.5,34.4,28.1,37.5,N,N,N,N
0500000US28121,"Rankin County, Mississippi",98.5,57.9,40.6,1.5,50.2,9.3,40.9,49.8,N,N,N,N
0500000US36111,"Ulster County, New York",98.1,64.8,33.3,1.9,49.1,14.0,35.1,50.9,100.0,30.1,69.9,0.0
0500000US37183,"Wake County, North Carolina",99.3,83.6,15.7,0.7,83.1,39.8,43.3,16.9,N,N,N,N
0500000US39093,"Lorain County, Ohio",99.4,60.5,39.0,0.6,82.2,21.1,61.0,17.8,N,N,N,N
0500000US40119,"Payne County, Oklahoma",97.9,83.5,14.4,2.1,75.0,53.9,21.1,25.0,N,N,N,N
0500000US40131,"Rogers County, Oklahoma",99.5,42.2,57.3,0.5,47.4,11.0,36.4,52.6,N,N,N,N
0500000US42081,"Lycoming County, Pennsylvania",99.7,84.1,15.5,0.3,52.4,17.1,35.3,47.6,100.0,25.5,74.5,0.0
0500000US45015,"Berkeley County, South Carolina",99.4,40.2,59.2,0.6,58.9,12.2,46.8,41.1,N,N,N,N
0500000US45085,"Sumter County, South Carolina",99.5,80.8,18.7,0.5,61.3,23.6,37.7,38.7,N,N,N,N
0500000US47147,"Robertson County, Tennessee",97.3,41.6,55.8,2.7,54.5,14.7,39.8,45.5,N,N,N,N
0500000US48085,"Collin County, Texas",98.9,62.7,36.1,1.1,94.7,32.6,62.1,5.3,N,N,N,N
0500000US49045,"Tooele County, Utah",97.8,48.6,49.2,2.2,89.3,24.9,64.4,10.7,N,N,N,N
0500000US53041,"Lewis County, Washington",99.1,71.1,28.1,0.9,47.6,14.2,33.4,52.4,N,N,N,N
0500000US53053,"Pierce County, Washington",99.6,69.4,30.2,0.4,95.6,22.4,73.2,4.4,N,N,N,N
0500000US54061,"Monongalia County, West Virginia",97.1,86.9,10.2,2.9,50.5,20.2,30.3,49.5,N,N,N,N
0500000US55009,"Brown County, Wisconsin",99.7,89.3,10.4,0.3,87.3,30.0,57.3,12.7,100.0,31.7,68.3,0.0
0500000US06115,"Yuba County, California",100.0,36.1,63.9,0.0,84.0,12.0,72.0,16.0,N,N,N,N
0500000US13051,"Chatham County, Georgia",97.7,93.0,4.7,2.3,88.6,42.2,46.4,11.4,N,N,N,N
0500000US13063,"Clayton County, Georgia",99.0,39.1,60.0,1.0,24.0,2.2,21.8,76.0,N,N,N,N
0500000US13113,"Fayette County, Georgia",98.8,47.9,50.9,1.2,59.0,19.8,39.2,41.0,N,N,N,N
0500000US13223,"Paulding County, Georgia",97.7,30.9,66.8,2.3,9.7,0.8,9.0,90.3,N,N,N,N
0500000US17043,"DuPage County, Illinois",98.8,60.6,38.3,1.2,89.4,18.5,70.9,10.6,N,N,N,N
0500000US17089,"Kane County, Illinois",98.7,52.5,46.2,1.3,88.7,24.4,64.3,11.3,N,N,N,N
0500000US18089,"Lake County, Indiana",73.2,66.9,6.2,26.8,93.1,18.7,74.4,6.9,N,N,N,N
0500000US21059,"Daviess County, Kentucky",94.4,88.4,5.9,5.6,57.8,42.3,15.4,42.2,N,N,N,N
0500000US21185,"Oldham County, Kentucky",97.6,33.9,63.7,2.4,36.8,8.3,28.5,63.2,N,N,N,N
0500000US25009,"Essex County, Massachusetts",94.0,60.8,33.3,6.0,80.4,21.7,58.7,19.6,100.0,25.6,74.4,0.0
0500000US26163,"Wayne County, Michigan",99.2,73.6,25.6,0.8,80.8,23.9,56.8,19.2,100.0,26.6,73.4,0.0
0500000US29165,"Platte County, Missouri",78.1,37.3,40.8,21.9,70.9,32.0,38.9,29.1,N,N,N,N
0500000US36053,"Madison County, New York",99.5,52.0,47.5,0.5,46.1,13.6,32.5,53.9,100.0,28.1,71.9,0.0
0500000US37159,"Rowan County, North Carolina",99.6,58.1,41.5,0.4,43.9,15.5,28.5,56.1,N,N,N,N
0500000US39029,"Columbiana County, Ohio",85.5,56.9,28.7,14.5,54.0,16.0,38.0,46.0,N,N,N,N
0500000US41059,"Umatilla County, Oregon",85.1,79.0,6.1,14.9,75.9,34.6,41.3,24.1,N,N,N,N
0500000US42045,"Delaware County, Pennsylvania",92.9,51.6,41.3,7.1,44.8,4.4,40.3,55.2,100.0,14.4,85.6,0.0
0500000US42073,"Lawrence County, Pennsylvania",94.5,57.6,36.9,5.5,53.0,15.0,38.0,47.0,100.0,23.3,76.7,0.0
0500000US47157,"Shelby County, Tennessee",94.1,93.0,1.1,5.9,88.1,60.3,27.8,11.9,N,N,N,N
0500000US04003,"Cochise County, Arizona",97.4,91.8,5.6,2.6,82.6,50.4,32.2,17.4,N,N,N,N
0500000US04005,"Coconino County, Arizona",97.5,91.8,5.8,2.5,85.1,62.1,23.0,14.9,N,N,N,N
0500000US06023,"Humboldt County, California",99.6,98.6,1.0,0.4,85.4,31.8,53.7,14.6,N,N,N,N
0500000US06039,"Madera County, California",99.9,60.6,39.3,0.1,78.8,23.8,55.0,21.2,N,N,N,N
0500000US12097,"Osceola County, Florida",98.2,47.9,50.2,1.8,62.0,11.7,50.4,38.0,N,N,N,N
0500000US13059,"Clarke County, Georgia",99.6,75.1,24.5,0.4,100.0,73.4,26.6,0.0,N,N,N,N
0500000US13313,"Whitfield County, Georgia",92.0,77.9,14.0,8.0,36.1,18.5,17.6,63.9,N,N,N,N
0500000US16019,"Bonneville County, Idaho",97.9,86.2,11.7,2.1,72.7,39.9,32.8,27.3,N,N,N,N
0500000US22109,"Terrebonne Parish, Louisiana",99.1,80.0,19.1,0.9,73.2,21.8,51.4,26.8,N,N,N,N
0500000US24015,"Cecil County, Maryland",71.6,49.0,22.6,28.4,30.1,6.2,23.9,69.9,N,N,N,N
0500000US24037,"St. Mary's County, Maryland",92.7,78.8,13.8,7.3,32.8,5.1,27.7,67.2,N,N,N,N
0500000US25001,"Barnstable County, Massachusetts",99.0,85.3,13.7,1.0,69.2,21.5,47.7,30.8,100.0,42.4,57.6,0.0
0500000US25021,"Norfolk County, Massachusetts",97.9,45.8,52.1,2.1,72.2,14.4,57.8,27.8,100.0,19.9,80.1,0.0
0500000US27163,"Washington County, Minnesota",97.4,38.2,59.2,2.6,95.2,19.4,75.8,4.8,100.0,20.1,79.9,0.0
0500000US34033,"Salem County, New Jersey",82.2,39.0,43.3,17.8,55.2,8.4,46.8,44.8,100.0,14.1,85.9,0.0
0500000US34035,"Somerset County, New Jersey",92.2,48.6,43.6,7.8,56.3,6.6,49.6,43.7,100.0,19.2,80.8,0.0
0500000US36081,"Queens County, New York",98.2,43.6,54.6,1.8,100.0,90.2,9.8,0.0,100.0,43.6,56.4,0.0
0500000US36119,"Westchester County, New York",94.0,60.8,33.2,6.0,83.3,17.9,65.5,16.7,100.0,23.7,76.3,0.0
0500000US37109,"Lincoln County, North Carolina",97.5,41.8,55.7,2.5,24.6,4.9,19.7,75.4,N,N,N,N
0500000US42003,"Allegheny County, Pennsylvania",99.0,90.6,8.4,1.0,69.0,23.9,45.1,31.0,100.0,29.1,70.9,0.0
0500000US45035,"Dorchester County, South Carolina",98.6,37.4,61.3,1.4,49.5,17.6,31.9,50.5,N,N,N,N
0500000US48231,"Hunt County, Texas",99.2,59.6,39.6,0.8,49.2,24.3,24.9,50.8,N,N,N,N
0500000US51650,"Hampton city, Virginia",99.3,41.1,58.2,0.7,100.0,41.1,58.9,0.0,N,N,N,N
0500000US01077,"Lauderdale County, Alabama",98.2,71.9,26.3,1.8,53.6,32.4,21.2,46.4,N,N,N,N
0500000US09011,"New London County, Connecticut",94.4,79.4,15.0,5.6,49.0,14.0,35.0,51.0,100.0,29.3,70.7,0.0
0500000US17167,"Sangamon County, Illinois",98.4,91.4,7.1,1.6,82.4,49.5,32.9,17.6,N,N,N,N
0500000US21111,"Jefferson County, Kentucky",96.2,91.5,4.7,3.8,100.0,61.2,38.8,0.0,N,N,N,N
0500000US21151,"Madison County, Kentucky",98.9,69.2,29.7,1.1,57.6,31.2,26.4,42.4,N,N,N,N
0500000US22015,"Bossier Parish, Louisiana",98.2,53.5,44.7,1.8,76.3,28.8,47.5,23.7,N,N,N,N
0500000US24009,"Calvert County, Maryland",82.6,43.7,38.9,17.4,46.2,5.7,40.5,53.8,N,N,N,N
0500000US26025,"Calhoun County, Michigan",99.0,78.5,20.5,1.0,57.3,26.8,30.5,42.7,100.0,32.1,67.9,0.0
0500000US34025,"Monmouth County, New Jersey",87.6,59.5,28.1,12.4,52.1,8.8,43.2,47.9,100.0,19.2,80.8,0.0
0500000US37119,"Mecklenburg County, North Carolina",93.5,85.2,8.3,6.5,95.4,67.0,28.4,4.6,N,N,N,N
0500000US39055,"Geauga County, Ohio",99.7,43.7,56.1,0.3,19.2,3.8,15.4,80.8,N,N,N,N
0500000US39119,"Muskingum County, Ohio",97.3,75.3,22.0,2.7,45.7,16.3,29.3,54.3,N,N,N,N
0500000US41043,"Linn County, Oregon",99.8,66.3,33.4,0.2,71.0,27.4,43.6,29.0,N,N,N,N
0500000US42017,"Bucks County, Pennsylvania",86.7,56.1,30.6,13.3,32.3,3.7,28.6,67.7,100.0,17.6,82.4,0.0
0500000US42095,"Northampton County, Pennsylvania",86.3,55.4,30.9,13.7,54.2,11.7,42.5,45.8,100.0,18.1,81.9,0.0
0500000US45075,"Orangeburg County, South Carolina",99.6,72.3,27.3,0.4,32.6,9.6,23.0,67.4,N,N,N,N
0500000US48029,"Bexar County, Texas",99.5,94.1,5.4,0.5,86.7,68.1,18.6,13.3,N,N,N,N
0500000US48091,"Comal County, Texas",99.5,52.6,46.9,0.5,73.9,32.8,41.1,26.1,N,N,N,N
0500000US48361,"Orange County, Texas",91.2,51.8,39.4,8.8,55.7,15.2,40.5,44.3,N,N,N,N
0500000US48497,"Wise County, Texas",99.3,52.7,46.5,0.7,45.1,9.9,35.2,54.9,N,N,N,N
0500000US53009,"Clallam County, Washington",98.5,90.4,8.1,1.5,54.6,32.1,22.5,45.4,N,N,N,N
0500000US72021,"Bayamón Municipio, Puerto Rico",99.7,42.4,57.3,0.3,91.0,35.8,55.2,9.0,N,N,N,N
0500000US72137,"Toa Baja Municipio, Puerto Rico",100.0,16.4,83.6,0.0,78.2,4.1,74.1,21.8,N,N,N,N
0500000US04025,"Yavapai County, Arizona",99.1,91.7,7.4,0.9,84.1,37.2,46.8,15.9,N,N,N,N
0500000US13097,"Douglas County, Georgia",99.2,39.8,59.5,0.8,42.5,10.0,32.5,57.5,N,N,N,N
0500000US13135,"Gwinnett County, Georgia",98.7,54.8,43.9,1.3,25.9,4.0,21.9,74.1,N,N,N,N
0500000US15007,"Kauai County, Hawaii",N,N,N,N,97.2,31.8,65.4,2.8,N,N,N,N
0500000US16027,"Canyon County, Idaho",97.4,61.6,35.8,2.6,74.4,26.7,47.7,25.6,N,N,N,N
0500000US18019,"Clark County, Indiana",68.0,52.0,16.1,32.0,77.7,22.4,55.3,22.3,N,N,N,N
0500000US19013,"Black Hawk County, Iowa",99.9,92.5,7.4,0.1,92.9,56.2,36.6,7.1,N,N,N,N
0500000US21015,"Boone County, Kentucky",80.0,57.2,22.8,20.0,68.0,12.5,55.5,32.0,N,N,N,N
0500000US22051,"Jefferson Parish, Louisiana",99.2,64.3,34.9,0.8,96.0,26.6,69.4,4.0,N,N,N,N
0500000US23031,"York County, Maine",85.4,62.8,22.6,14.6,47.8,13.5,34.4,52.2,100.0,25.8,74.2,0.0
0500000US24027,"Howard County, Maryland",91.8,41.9,49.9,8.2,86.2,19.4,66.8,13.8,N,N,N,N
0500000US24031,"Montgomery County, Maryland",72.6,62.3,10.3,27.4,94.2,15.8,78.5,5.8,N,N,N,N
0500000US27053,"Hennepin County, Minnesota",99.1,81.5,17.6,0.9,100.0,32.0,67.9,0.0,100.0,32.0,68.0,0.0
0500000US28067,"Jones County, Mississippi",96.9,72.2,24.7,3.1,31.5,15.4,16.1,68.5,N,N,N,N
0500000US29510,"St. Louis city, Missouri",94.7,54.1,40.6,5.3,100.0,54.1,45.9,0.0,N,N,N,N
0500000US34013,"Essex County, New Jersey",84.2,48.8,35.3,15.8,49.2,15.7,33.5,50.8,100.0,23.0,77.0,0.0
0500000US34021,"Mercer County, New Jersey",89.8,66.2,23.6,10.2,46.4,12.0,34.4,53.6,100.0,27.1,72.9,0.0
0500000US36113,"Warren County, New York",99.3,66.7,32.6,0.7,64.0,15.5,48.5,36.0,100.0,36.6,63.4,0.0
0500000US36117,"Wayne County, New York",99.5,50.4,49.0,0.5,34.4,7.8,26.7,65.6,100.0,23.8,76.2,0.0
0500000US37129,"New Hanover County, North Carolina",98.9,90.8,8.1,1.1,91.3,44.2,47.1,8.7,N,N,N,N
0500000US39081,"Jefferson County, Ohio",75.5,63.7,11.9,24.5,64.6,25.2,39.4,35.4,N,N,N,N
0500000US42085,"Mercer County, Pennsylvania",92.6,77.5,15.0,7.4,53.1,14.1,39.0,46.9,100.0,21.1,78.9,0.0
0500000US42111,"Somerset County, Pennsylvania",92.9,65.4,27.5,7.1,38.3,7.4,30.9,61.7,100.0,20.0,80.0,0.0
0500000US51800,"Suffolk city, Virginia",98.4,40.0,58.3,1.6,100.0,40.0,60.0,0.0,N,N,N,N
0500000US53033,"King County, Washington",99.5,93.6,5.9,0.5,97.7,41.7,56.1,2.3,N,N,N,N
0500000US54033,"Harrison County, West Virginia",96.9,83.5,13.4,3.1,53.1,16.4,36.6,46.9,N,N,N,N
0500000US06111,"Ventura County, California",99.7,78.8,20.9,0.3,95.3,34.1,61.2,4.7,N,N,N,N
0500000US09005,"Litchfield County, Connecticut",93.8,52.8,41.0,6.2,43.7,9.9,33.8,56.3,100.0,24.5,75.5,0.0
0500000US09007,"Middlesex County, Connecticut",98.1,46.2,51.9,1.9,48.5,11.6,36.9,51.5,100.0,23.6,76.4,0.0
0500000US12023,"Columbia County, Florida",97.5,72.7,24.8,2.5,26.6,10.4,16.2,73.4,N,N,N,N
0500000US13047,"Catoosa County, Georgia",55.0,32.3,22.7,45.0,27.9,4.3,23.6,72.1,N,N,N,N
0500000US13247,"Rockdale County, Georgia",97.9,39.5,58.3,2.1,19.7,7.1,12.6,80.3,N,N,N,N
0500000US13297,"Walton County, Georgia",98.4,40.4,58.0,1.6,32.1,7.3,24.8,67.9,N,N,N,N
0500000US16005,"Bannock County, Idaho",99.3,88.4,10.8,0.7,89.0,57.2,31.8,11.0,N,N,N,N
0500000US24003,"Anne Arundel County, Maryland",90.6,59.2,31.4,9.4,91.9,16.1,75.8,8.1,N,N,N,N
0500000US28033,"DeSoto County, Mississippi",51.3,46.0,5.3,48.7,79.0,18.9,60.1,21.0,N,N,N,N
0500000US29097,"Jasper County, Missouri",96.0,79.4,16.6,4.0,75.9,33.2,42.7,24.1,N,N,N,N
0500000US30029,"Flathead County, Montana",99.2,98.2,1.0,0.8,54.0,25.2,28.8,46.0,N,N,N,N
0500000US35001,"Bernalillo County, New Mexico",99.4,92.1,7.2,0.6,94.3,71.8,22.5,5.7,N,N,N,N
0500000US36005,"Bronx County, New York",97.9,43.7,54.1,2.1,100.0,90.1,9.9,0.0,100.0,43.7,56.3,0.0
0500000US37019,"Brunswick County, North Carolina",94.5,62.9,31.6,5.5,53.5,14.4,39.1,46.5,N,N,N,N
0500000US37021,"Buncombe County, North Carolina",99.2,90.2,9.0,0.8,51.1,32.6,18.5,48.9,N,N,N,N
0500000US37127,"Nash County, North Carolina",99.8,65.9,33.9,0.2,58.3,31.4,26.9,41.7,N,N,N,N
0500000US37193,"Wilkes County, North Carolina",99.1,71.0,28.1,0.9,27.8,5.1,22.7,72.2,N,N,N,N
0500000US39035,"Cuyahoga County, Ohio",99.4,88.7,10.7,0.6,98.8,26.7,72.1,1.2,N,N,N,N
0500000US39061,"Hamilton County, Ohio",92.5,79.2,13.2,7.5,92.2,26.7,65.5,7.8,N,N,N,N
0500000US39165,"Warren County, Ohio",98.1,45.6,52.5,1.9,51.2,11.4,39.8,48.8,N,N,N,N
0500000US40017,"Canadian County, Oklahoma",99.4,44.3,55.0,0.6,94.8,45.2,49.6,5.2,N,N,N,N
0500000US42029,"Chester County, Pennsylvania",91.6,62.3,29.2,8.4,26.2,3.8,22.4,73.8,100.0,17.4,82.6,0.0
0500000US42077,"Lehigh County, Pennsylvania",97.5,70.9,26.7,2.5,67.8,14.7,53.1,32.2,100.0,20.5,79.5,0.0
0500000US45063,"Lexington County, South Carolina",98.8,61.2,37.7,1.2,41.4,7.5,33.9,58.6,N,N,N,N
0500000US47119,"Maury County, Tennessee",99.8,60.5,39.3,0.2,57.2,22.8,34.4,42.8,N,N,N,N
0500000US47189,"Wilson County, Tennessee",98.1,47.3,50.7,1.9,56.3,18.8,37.5,43.7,N,N,N,N
0500000US48203,"Harrison County, Texas",95.9,59.4,36.6,4.1,41.1,21.4,19.6,58.9,N,N,N,N
0500000US51041,"Chesterfield County, Virginia",99.0,48.0,51.0,1.0,35.3,4.3,31.0,64.7,N,N,N,N
0500000US55131,"Washington County, Wisconsin",99.5,52.1,47.3,0.5,71.8,19.2,52.5,28.2,100.0,23.5,76.5,0.0
0500000US09003,"Hartford County, Connecticut",96.0,84.2,11.8,4.0,60.7,14.7,46.0,39.3,100.0,24.8,75.2,0.0
0500000US12033,"Escambia County, Florida",95.5,89.8,5.6,4.5,73.6,21.9,51.7,26.4,N,N,N,N
0500000US18039,"Elkhart County, Indiana",98.3,86.2,12.1,1.7,53.4,22.8,30.6,46.6,N,N,N,N
0500000US18109,"Morgan County, Indiana",99.6,34.1,65.4,0.4,36.6,9.5,27.1,63.4,N,N,N,N
0500000US19049,"Dallas County, Iowa",99.6,30.6,69.0,0.4,86.0,17.4,68.5,14.0,N,N,N,N
0500000US23011,"Kennebec County, Maine",98.8,78.4,20.4,1.2,44.3,20.9,23.3,55.7,100.0,30.1,69.9,0.0
0500000US26049,"Genesee County, Michigan",99.4,71.2,28.2,0.6,44.1,11.8,32.4,55.9,100.0,20.3,79.7,0.0
0500000US26087,"Lapeer County, Michigan",99.3,43.5,55.7,0.7,21.3,6.0,15.3,78.7,100.0,14.6,85.4,0.0
0500000US26145,"Saginaw County, Michigan",99.1,77.3,21.8,0.9,44.6,10.2,34.3,55.4,100.0,21.9,78.1,0.0
0500000US30013,"Cascade County, Montana",98.0,95.9,2.0,2.0,83.4,65.5,17.9,16.6,N,N,N,N
0500000US32003,"Clark County, Nevada",98.8,98.6,0.2,1.2,98.4,29.9,68.5,1.6,N,N,N,N
0500000US36007,"Broome County, New York",98.9,89.2,9.7,1.1,51.2,13.5,37.7,48.8,100.0,28.9,71.1,0.0
0500000US36027,"Dutchess County, New York",96.9,63.9,33.0,3.1,35.3,6.9,28.4,64.7,100.0,23.5,76.5,0.0
0500000US37023,"Burke County, North Carolina",99.6,61.2,38.3,0.4,39.5,11.6,27.9,60.5,N,N,N,N
0500000US37035,"Catawba County, North Carolina",98.7,77.4,21.2,1.3,59.4,20.4,39.0,40.6,N,N,N,N
0500000US37125,"Moore County, North Carolina",97.2,71.6,25.5,2.8,56.3,16.8,39.5,43.7,N,N,N,N
0500000US39009,"Athens County, Ohio",97.3,85.5,11.8,2.7,58.1,34.7,23.3,41.9,N,N,N,N
0500000US39023,"Clark County, Ohio",99.0,62.8,36.2,1.0,63.6,24.4,39.2,36.4,N,N,N,N
0500000US39099,"Mahoning County, Ohio",97.1,73.5,23.5,2.9,71.3,19.7,51.6,28.7,N,N,N,N
0500000US45051,"Horry County, South Carolina",96.1,92.2,3.9,3.9,44.9,15.3,29.5,55.1,N,N,N,N
0500000US47093,"Knox County, Tennessee",99.2,84.5,14.8,0.8,45.3,30.4,14.9,54.7,N,N,N,N
0500000US51061,"Fauquier County, Virginia",95.4,41.9,53.5,4.6,40.4,7.6,32.8,59.6,N,N,N,N
0500000US72127,"San Juan Municipio, Puerto Rico",99.2,73.6,25.6,0.8,96.7,71.1,25.6,3.3,N,N,N,N
