id,Geographic Area Name,Worked in state of residence,Worked in county of residence,Worked outside county of residence,Worked outside state of residence,Living in a place,Worked in place of residence,Worked outside place of residence,Not living in a place,Living in 12 selected states,Worked in minor civil division of residence,Worked outside minor civil division of residence,Not living in 12 selected states
0500000US01069,"Houston County, Alabama",96.2,85.1,11.1,3.8,78.3,52.5,25.8,21.7,N,N,N,N
0500000US06083,"Santa Barbara County, California",99.7,92.1,7.6,0.3,90.0,42.1,47.9,10.0,N,N,N,N
0500000US10003,"New Castle County, Delaware",80.6,78.7,1.9,19.4,46.3,7.9,38.4,53.7,N,N,N,N
0500000US12113,"Santa Rosa County, Florida",96.3,46.4,49.9,3.7,77.7,13.1,64.6,22.3,N,N,N,N
0500000US13295,"Walker County, Georgia",62.5,36.0,26.5,37.5,38.2,5.5,32.7,61.8,N,N,N,N
0500000US20091,"Johnson County, Kansas",78.3,69.4,8.9,21.7,97.8,30.0,67.8,2.2,N,N,N,N
0500000US25017,"Middlesex County, Massachusetts",97.3,66.7,30.6,2.7,73.8,17.9,55.8,26.2,100.0,23.1,76.9,0.0
0500000US25025,"Suffolk County, Massachusetts",99.2,69.3,29.9,0.8,100.0,61.2,38.8,0.0,100.0,61.2,38.8,0.0
0500000US26055,"Grand Traverse County, Michigan",99.3,87.5,11.7,0.7,16.6,8.2,8.4,83.4,100.0,23.8,76.2,0.0
0500000US27137,"St. Louis County, Minnesota",95.2,90.5,4.8,4.8,77.2,45.9,31.3,22.8,100.0,48.5,51.5,0.0
0500000US31153,"Sarpy County, Nebraska",95.5,44.6,51.0,4.5,60.5,12.5,48.0,39.5,N,N,N,N
0500000US33011,"Hillsborough County, New Hampshire",82.8,67.7,15.1,17.2,57.2,22.2,35.0,42.8,100.0,32.3,67.7,0.0
0500000US34017,"Hudson County, New Jersey",64.8,40.8,24.0,35.2,87.6,19.1,68.6,12.4,100.0,21.0,79.0,0.0
0500000US37025,"Cabarrus County, North Carolina",98.1,49.2,48.8,1.9,74.4,23.6,50.8,25.6,N,N,N,N
0500000US38015,"Burleigh County, North Dakota",99.4,85.8,13.6,0.6,81.6,59.7,21.9,18.4,N,N,N,N
0500000US39085,"Lake County, Ohio",99.4,62.7,36.8,0.6,77.8,15.3,62.5,22.2,N,N,N,N
0500000US39153,"Summit County, Ohio",99.3,71.3,28.0,0.7,87.8,25.9,61.9,12.2,N,N,N,N
0500000US40037,"Creek County, Oklahoma",99.2,38.4,60.8,0.8,51.0,13.5,37.6,49.0,N,N,N,N
0500000US41039,"Lane County, Oregon",99.2,96.3,2.9,0.8,75.3,45.8,29.5,24.7,N,N,N,N
0500000US42001,"Adams County, Pennsylvania",84.4,47.8,36.6,15.6,40.8,4.4,36.4,59.2,100.0,12.8,87.2,0.0
0500000US42041,"Cumberland County, Pennsylvania",98.5,65.3,33.2,1.5,37.9,6.8,31.1,62.1,100.0,19.0,81.0,0.0
0500000US47065,"Hamilton County, Tennessee",95.6,91.3,4.3,4.4,78.7,47.7,31.0,21.3,N,N,N,N
0500000US47179,"Washington County, Tennessee",97.8,71.0,26.7,2.2,66.3,36.1,30.2,33.7,N,N,N,N
0500000US49005,"Cache County, Utah",98.8,91.7,7.0,1.2,97.5,40.0,57.5,2.5,N,N,N,N
0500000US53015,"Cowlitz County, Washington",89.4,73.0,16.4,10.6,67.7,26.8,40.9,32.3,N,N,N,N
0500000US54081,"Raleigh County, West Virginia",98.1,82.6,15.5,1.9,54.9,17.9,37.0,45.1,N,N,N,N
0500000US72013,"Arecibo Municipio, Puerto Rico",100.0,57.6,42.4,0.0,51.5,27.4,24.1,48.5,N,N,N,N
0500000US01103,"Morgan County, Alabama",99.0,69.9,29.2,1.0,66.2,30.8,35.4,33.8,N,N,N,N
0500000US06031,"Kings County, California",99.5,70.2,29.3,0.5,87.1,33.4,53.6,12.9,N,N,N,N
0500000US06089,"Shasta County, California",99.3,90.8,8.5,0.7,75.9,45.5,30.4,24.1,N,N,N,N
0500000US12073,"Leon County, Florida",99.3,95.1,4.2,0.7,67.2,60.2,6.9,32.8,N,N,N,N
0500000US12103,"Pinellas County, Florida",99.0,85.7,13.3,1.0,88.7,29.9,58.8,11.3,N,N,N,N
0500000US17093,"Kendall County, Illinois",98.7,27.5,71.2,1.3,85.2,8.8,76.4,14.8,N,N,N,N
0500000US26017,"Bay County, Michigan",99.5,62.0,37.5,0.5,38.1,10.2,27.8,61.9,100.0,19.4,80.6,0.0
0500000US26159,"Van Buren County, Michigan",98.6,58.9,39.7,1.4,22.9,5.0,17.9,77.1,100.0,19.9,80.1,0.0
0500000US32031,"Washoe County, Nevada",96.3,91.5,4.9,3.7,92.3,51.0,41.3,7.7,N,N,N,N
0500000US33013,"Merrimack County, New Hampshire",96.5,63.2,33.3,3.5,50.1,19.7,30.3,49.9,100.0,28.9,71.1,0.0
0500000US39045,"Fairfield County, Ohio",99.4,41.2,58.2,0.6,55.5,18.5,37.0,44.5,N,N,N,N
0500000US45041,"Florence County, South Carolina",99.3,82.9,16.4,0.7,36.2,17.4,18.7,63.8,N,N,N,N
0500000US48005,"Angelina County, Texas",95.1,82.2,13.0,4.9,59.5,38.4,21.1,40.5,N,N,N,N
0500000US53057,"Skagit County, Washington",98.9,76.0,22.9,1.1,62.1,24.0,38.1,37.9,N,N,N,N
0500000US53067,"Thurston County, Washington",98.6,71.5,27.1,1.4,57.0,19.3,37.7,43.0,N,N,N,N
0500000US54039,"Kanawha County, West Virginia",99.0,91.2,7.8,1.0,68.5,27.4,41.0,31.5,N,N,N,N
0500000US55025,"Dane County, Wisconsin",99.3,94.2,5.1,0.7,86.9,43.0,43.9,13.1,100.0,44.7,55.3,0.0
0500000US01097,"Mobile County, Alabama",94.8,90.5,4.3,5.2,67.4,38.9,28.5,32.6,N,N,N,N
0500000US06013,"Contra Costa County, California",99.6,56.4,43.2,0.4,99.3,20.3,78.9,0.7,N,N,N,N
0500000US12083,"Marion County, Florida",99.0,80.5,18.5,1.0,24.4,14.4,10.0,75.6,N,N,N,N
0500000US12091,"Okaloosa County, Florida",97.8,87.3,10.5,2.2,59.7,16.7,43.0,40.3,N,N,N,N
0500000US12117,"Seminole County, Florida",99.3,55.4,43.9,0.7,64.8,14.0,50.9,35.2,N,N,N,N
0500000US13073,"Columbia County, Georgia",93.3,39.4,53.9,6.7,57.1,11.9,45.2,42.9,N,N,N,N
0500000US13095,"Dougherty County, Georgia",99.3,82.2,17.2,0.7,83.1,58.4,24.7,16.9,N,N,N,N
0500000US13151,"Henry County, Georgia",99.5,45.6,53.9,0.5,33.8,7.7,26.1,66.2,N,N,N,N
0500000US13153,"Houston County, Georgia",99.2,76.5,22.7,0.8,65.6,26.9,38.7,34.4,N,N,N,N
0500000US17183,"Vermilion County, Illinois",96.8,83.1,13.6,3.2,68.7,31.2,37.5,31.3,N,N,N,N
0500000US17197,"Will County, Illinois",98.8,52.6,46.2,1.2,88.7,20.8,67.9,11.3,N,N,N,N
0500000US18141,"St. Joseph County, Indiana",94.6,77.9,16.7,5.4,70.4,25.8,44.6,29.6,N,N,N,N
0500000US19163,"Scott County, Iowa",79.1,74.5,4.7,20.9,93.0,44.5,48.5,7.0,N,N,N,N
0500000US23019,"Penobscot County, Maine",99.1,92.3,6.8,0.9,51.4,26.5,24.8,48.6,100.0,33.2,66.8,0.0
0500000US26111,"Midland County, Michigan",99.2,69.9,29.4,0.8,55.0,39.1,15.9,45.0,100.0,42.1,57.9,0.0
0500000US26115,"Monroe County, Michigan",75.8,44.8,31.1,24.2,46.7,7.2,39.5,53.3,100.0,15.0,85.0,0.0
0500000US27145,"Stearns County, Minnesota",99.4,81.4,17.9,0.6,74.1,28.6,45.5,25.9,100.0,31.8,68.2,0.0
0500000US35061,"Valencia County, New Mexico",98.3,51.1,47.2,1.7,87.6,17.9,69.7,12.4,N,N,N,N
0500000US36101,"Steuben County, New York",97.4,74.2,23.2,2.6,45.3,13.6,31.8,54.7,100.0,25.4,74.6,0.0
0500000US37097,"Iredell County, North Carolina",98.0,68.7,29.4,2.0,41.3,17.9,23.4,58.7,N,N,N,N
0500000US38017,"Cass County, North Dakota",91.2,88.6,2.6,8.8,96.6,60.8,35.7,3.4,N,N,N,N
0500000US38101,"Ward County, North Dakota",100.0,89.8,10.1,0.0,87.6,55.7,31.9,12.4,N,N,N,N
0500000US41051,"Multnomah County, Oregon",96.2,79.8,16.3,3.8,97.9,65.8,32.2,2.1,N,N,N,N
0500000US42021,"Cambria County, Pennsylvania",99.1,73.8,25.3,0.9,54.7,12.2,42.5,45.3,100.0,23.0,77.0,0.0
0500000US48485,"Wichita County, Texas",98.1,94.9,3.3,1.9,93.4,75.0,18.5,6.6,N,N,N,N
0500000US51015,"Augusta County, Virginia",99.3,45.1,54.2,0.7,45.8,8.1,37.7,54.2,N,N,N,N
0500000US51550,"Chesapeake city, Virginia",98.4,40.4,58.0,1.6,100.0,40.4,59.6,0.0,N,N,N,N
0500000US51770,"Roanoke city, Virginia",99.8,64.3,35.5,0.2,100.0,64.3,35.7,0.0,N,N,N,N
0500000US54011,"Cabell County, West Virginia",94.8,78.3,16.5,5.2,63.8,33.5,30.3,36.2,N,N,N,N
0500000US55141,"Wood County, Wisconsin",99.8,76.3,23.5,0.2,64.3,34.6,29.7,35.7,100.0,36.5,63.5,0.0
0500000US72061,"Guaynabo Municipio, Puerto Rico",100.0,40.6,59.4,0.0,81.6,31.2,50.4,18.4,N,N,N,N
0500000US01083,"Limestone County, Alabama",97.4,47.3,50.1,2.6,34.4,14.1,20.3,65.6,N,N,N,N
0500000US05051,"Garland County, Arkansas",98.8,84.7,14.1,1.2,59.2,33.8,25.5,40.8,N,N,N,N
0500000US08069,"Larimer County, Colorado",97.4,80.8,16.6,2.6,81.1,47.8,33.3,18.9,N,N,N,N
0500000US12035,"Flagler County, Florida",98.8,60.4,38.4,1.2,87.8,39.2,48.6,12.2,N,N,N,N
0500000US17201,"Winnebago County, Illinois",94.0,80.6,13.4,6.0,79.1,39.9,39.2,20.9,N,N,N,N
0500000US24025,"Harford County, Maryland",96.6,55.6,41.0,3.4,75.2,12.4,62.9,24.8,N,N,N,N
0500000US30031,"Gallatin County, Montana",98.7,95.2,3.5,1.3,66.5,42.3,24.2,33.5,N,N,N,N
0500000US37157,"Rockingham County, North Carolina",95.4,54.5,41.0,4.6,37.5,12.3,25.2,62.5,N,N,N,N
0500000US39155,"Trumbull County, Ohio",95.3,65.5,29.9,4.7,61.2,14.0,47.2,38.8,N,N,N,N
0500000US42019,"Butler County, Pennsylvania",99.1,63.0,36.1,0.9,31.3,5.6,25.7,68.7,100.0,18.0,82.0,0.0
0500000US42049,"Erie County, Pennsylvania",98.1,94.8,3.3,1.9,51.9,22.1,29.8,48.1,100.0,33.7,66.3,0.0
0500000US42079,"Luzerne County, Pennsylvania",98.4,83.5,14.9,1.6,69.4,12.4,57.0,30.6,100.0,19.1,80.9,0.0
0500000US45055,"Kershaw County, South Carolina",99.6,53.4,46.2,0.4,30.2,10.0,20.3,69.8,N,N,N,N
0500000US51107,"Loudoun County, Virginia",89.0,48.7,40.3,11.0,80.3,14.5,65.8,19.7,N,N,N,N
0500000US72135,"Toa Alta Municipio, Puerto Rico",99.6,17.5,82.1,0.4,28.5,0.8,27.7,71.5,N,N,N,N
0500000US01073,"Jefferson County, Alabama",99.2,87.9,11.3,0.8,87.6,29.0,58.5,12.4,N,N,N,N
0500000US04013,"Maricopa County, Arizona",98.8,97.9,0.9,1.2,95.9,43.8,52.1,4.1,N,N,N,N
0500000US05069,"Jefferson County, Arkansas",97.1,84.4,12.8,2.9,73.8,44.1,29.7,26.2,N,N,N,N
0500000US05145,"White County, Arkansas",98.4,74.0,24.4,1.6,47.4,21.1,26.3,52.6,N,N,N,N
0500000US06079,"San Luis Obispo County, California",99.8,88.9,10.9,0.2,85.7,29.8,56.0,14.3,N,N,N,N
0500000US08014,"Broomfield County, Colorado",99.3,34.0,65.3,0.7,100.0,34.0,66.0,0.0,N,N,N,N
0500000US09009,"New Haven County, Connecticut",97.4,72.4,25.1,2.6,65.8,20.9,44.9,34.2,100.0,28.7,71.3,0.0
0500000US12061,"Indian River County, Florida",99.0,84.2,14.8,1.0,84.4,23.3,61.1,15.6,N,N,N,N
0500000US13021,"Bibb County, Georgia",98.8,82.3,16.5,1.2,100.0,82.3,17.7,0.0,N,N,N,N
0500000US13089,"DeKalb County, Georgia",98.4,45.6,52.9,1.6,63.9,13.0,50.9,36.1,N,N,N,N
0500000US13127,"Glynn County, Georgia",98.5,93.5,5.0,1.5,53.8,18.0,35.8,46.2,N,N,N,N
0500000US16001,"Ada County, Idaho",98.8,92.4,6.4,1.2,89.1,51.7,37.4,10.9,N,N,N,N
0500000US17111,"McHenry County, Illinois",96.8,51.4,45.4,3.2,80.4,16.8,63.6,19.6,N,N,N,N
0500000US17179,"Tazewell County, Illinois",99.3,57.9,41.4,0.7,84.4,24.4,60.0,15.6,N,N,N,N
0500000US18053,"Grant County, Indiana",99.4,78.2,21.2,0.6,70.0,34.5,35.5,30.0,N,N,N,N
0500000US18081,"Johnson County, Indiana",99.7,51.7,47.9,0.3,71.1,21.1,50.0,28.9,N,N,N,N
0500000US19103,"Johnson County, Iowa",99.2,82.2,17.0,0.8,87.0,43.7,43.3,13.0,N,N,N,N
0500000US26099,"Macomb County, Michigan",99.6,55.7,43.9,0.4,53.5,9.2,44.4,46.5,100.0,16.7,83.3,0.0
0500000US27131,"Rice County, Minnesota",99.6,65.6,34.0,0.4,73.6,37.0,36.6,26.4,100.0,41.0,59.0,0.0
0500000US29051,"Cole County, Missouri",98.4,89.0,9.3,1.6,61.6,45.9,15.7,38.4,N,N,N,N
0500000US29071,"Franklin County, Missouri",99.1,58.4,40.7,0.9,54.8,17.2,37.5,45.2,N,N,N,N
0500000US33017,"Strafford County, New Hampshire",89.2,59.9,29.3,10.8,68.6,20.9,47.7,31.4,100.0,25.9,74.1,0.0
0500000US36067,"Onondaga County, New York",99.3,92.9,6.4,0.7,47.7,18.3,29.4,52.3,100.0,31.2,68.8,0.0
0500000US36069,"Ontario County, New York",99.9,59.8,40.0,0.1,38.5,11.6,26.8,61.5,100.0,22.7,77.3,0.0
0500000US37069,"Franklin County, North Carolina",98.3,28.4,69.9,1.7,17.5,2.2,15.3,82.5,N,N,N,N
0500000US37161,"Rutherford County, North Carolina",90.2,64.5,25.7,9.8,27.4,7.5,20.0,72.6,N,N,N,N
0500000US39169,"Wayne County, Ohio",99.7,70.4,29.3,0.3,49.1,19.2,29.9,50.9,N,N,N,N
0500000US41019,"Douglas County, Oregon",99.8,92.9,6.9,0.2,69.0,23.7,45.3,31.0,N,N,N,N
0500000US42055,"Franklin County, Pennsylvania",82.2,67.5,14.8,17.8,38.6,9.8,28.8,61.4,100.0,21.3,78.7,0.0
0500000US42133,"York County, Pennsylvania",89.2,71.1,18.0,10.8,40.0,7.7,32.3,60.0,100.0,17.3,82.7,0.0
0500000US44007,"Providence County, Rhode Island",80.2,69.7,10.5,19.8,73.7,20.1,53.7,26.3,100.0,24.6,75.4,0.0
0500000US45013,"Beaufort County, South Carolina",94.1,90.1,4.1,5.9,63.1,32.3,30.8,36.9,N,N,N,N
0500000US47125,"Montgomery County, Tennessee",81.1,65.4,15.8,18.9,77.2,45.3,32.0,22.8,N,N,N,N
0500000US47165,"Sumner County, Tennessee",97.8,52.7,45.1,2.2,77.1,25.1,52.0,22.9,N,N,N,N
0500000US48251,"Johnson County, Texas",99.0,47.3,51.7,1.0,63.7,20.5,43.2,36.3,N,N,N,N
0500000US48309,"McLennan County, Texas",99.8,93.8,5.9,0.2,83.9,47.1,36.8,16.1,N,N,N,N
0500000US48397,"Rockwall County, Texas",98.2,36.5,61.7,1.8,87.3,21.0,66.3,12.7,N,N,N,N
0500000US48409,"San Patricio County, Texas",99.8,54.2,45.6,0.2,92.3,23.6,68.7,7.7,N,N,N,N
0500000US49049,"Utah County, Utah",99.4,83.1,16.4,0.6,99.2,31.7,67.4,0.8,N,N,N,N
0500000US51179,"Stafford County, Virginia",90.3,33.9,56.4,9.7,12.9,1.0,11.8,87.1,N,N,N,N
0500000US51510,"Alexandria city, Virginia",62.0,27.4,34.6,38.0,100.0,27.4,72.6,0.0,N,N,N,N
0500000US53077,"Yakima County, Washington",99.8,95.3,4.5,0.2,75.6,30.8,44.8,24.4,N,N,N,N
0500000US72025,"Caguas Municipio, Puerto Rico",99.4,45.9,53.5,0.6,67.0,27.8,39.2,33.0,N,N,N,N
0500000US01089,"Madison County, Alabama",98.7,93.8,4.8,1.3,74.3,42.5,31.8,25.7,N,N,N,N
0500000US06087,"Santa Cruz County, California",99.7,76.0,23.7,0.3,90.9,31.1,59.8,9.1,N,N,N,N
0500000US12085,"Martin County, Florida",98.2,74.7,23.5,1.8,65.7,21.5,44.2,34.3,N,N,N,N
0500000US15003,"Honolulu County, Hawaii",99.4,99.1,0.4,0.6,97.0,38.4,58.5,3.0,N,N,N,N
0500000US16055,"Kootenai County, Idaho",85.5,82.0,3.5,14.5,76.2,28.2,48.0,23.8,N,N,N,N
0500000US17113,"McLean County, Illinois",99.6,88.0,11.6,0.4,89.1,44.6,44.5,10.9,N,N,N,N
0500000US17161,"Rock Island County, Illinois",74.8,71.1,3.7,25.2,87.1,24.0,63.2,12.9,N,N,N,N
0500000US18157,"Tippecanoe County, Indiana",98.9,90.4,8.5,1.1,66.8,39.0,27.8,33.2,N,N,N,N
0500000US18177,"Wayne County, Indiana",91.9,78.4,13.5,8.1,69.1,43.3,25.8,30.9,N,N,N,N
0500000US19193,"Woodbury County, Iowa",77.9,72.9,5.0,22.1,91.6,57.1,34.5,8.4,N,N,N,N
0500000US21145,"McCracken County, Kentucky",95.7,88.4,7.3,4.3,66.0,24.7,41.2,34.0,N,N,N,N
0500000US22073,"Ouachita Parish, Louisiana",97.1,91.6,5.4,2.9,56.6,24.3,32.3,43.4,N,N,N,N
0500000US23001,"Androscoggin County, Maine",97.4,66.7,30.7,2.6,59.2,24.1,35.1,40.8,100.0,28.3,71.7,0.0
0500000US27037,"Dakota County, Minnesota",99.0,48.4,50.5,1.0,96.2,18.7,77.5,3.8,100.0,19.1,80.9,0.0
0500000US27123,"Ramsey County, Minnesota",99.1,55.3,43.9,0.9,97.7,29.7,68.0,2.3,100.0,29.9,70.1,0.0
0500000US36015,"Chemung County, New York",96.3,74.8,21.5,3.7,69.8,19.4,50.4,30.2,100.0,26.2,73.8,0.0
0500000US42097,"Northumberland County, Pennsylvania",99.8,49.7,50.2,0.2,59.0,9.9,49.2,41.0,100.0,15.4,84.6,0.0
0500000US46103,"Pennington County, South Dakota",99.1,95.1,4.0,0.9,86.9,57.7,29.3,13.1,N,N,N,N
0500000US48037,"Bowie County, Texas",89.1,84.0,5.1,10.9,66.2,32.1,34.2,33.8,N,N,N,N
0500000US48141,"El Paso County, Texas",96.5,94.7,1.9,3.5,95.0,72.4,22.6,5.0,N,N,N,N
0500000US49053,"Washington County, Utah",97.1,95.3,1.8,2.9,96.5,58.2,38.3,3.5,N,N,N,N
0500000US51003,"Albemarle County, Virginia",99.6,56.9,42.7,0.4,28.6,6.2,22.4,71.4,N,N,N,N
0500000US51680,"Lynchburg city, Virginia",98.5,75.6,22.9,1.5,100.0,75.6,24.4,0.0,N,N,N,N
0500000US53063,"Spokane County, Washington",96.9,95.3,1.5,3.1,79.6,44.0,35.5,20.4,N,N,N,N
0500000US55097,"Portage County, Wisconsin",99.4,79.7,19.6,0.6,65.1,31.1,34.0,34.9,100.0,36.2,63.8,0.0
0500000US01043,"Cullman County, Alabama",97.0,68.5,28.5,3.0,31.5,12.3,19.2,68.5,N,N,N,N
0500000US06037,"Los Angeles County, California",99.5,92.4,7.1,0.5,99.0,38.2,60.8,1.0,N,N,N,N
0500000US06061,"Placer County, California",99.1,66.0,33.1,0.9,85.0,29.0,56.0,15.0,N,N,N,N
0500000US09013,"Tolland County, Connecticut",93.9,38.7,55.2,6.1,21.3,8.1,13.2,78.7,100.0,23.7,76.3,0.0
0500000US10005,"Sussex County, Delaware",85.2,77.9,7.3,14.8,24.7,4.7,20.0,75.3,N,N,N,N
0500000US13031,"Bulloch County, Georgia",99.3,74.9,24.4,0.7,43.7,26.5,17.2,56.3,N,N,N,N
0500000US13115,"Floyd County, Georgia",98.0,75.7,22.3,2.0,41.5,23.5,18.0,58.5,N,N,N,N
0500000US13217,"Newton County, Georgia",98.8,39.9,58.9,1.2,19.2,5.0,14.2,80.8,N,N,N,N
0500000US17031,"Cook County, Illinois",98.6,86.9,11.7,1.4,98.1,47.4,50.7,1.9,N,N,N,N
0500000US21047,"Christian County, Kentucky",88.6,84.8,3.8,11.4,79.7,54.7,25.0,20.3,N,N,N,N
0500000US25011,"Franklin County, Massachusetts",95.3,60.5,34.8,4.7,41.1,15.1,26.1,58.9,100.0,27.7,72.3,0.0
0500000US25013,"Hampden County, Massachusetts",90.7,80.8,9.9,9.3,80.7,28.4,52.3,19.3,100.0,31.6,68.4,0.0
0500000US26155,"Shiawassee County, Michigan",99.8,49.7,50.1,0.2,45.2,10.7,34.5,54.8,100.0,17.3,82.7,0.0
0500000US29047,"Clay County, Missouri",86.5,48.1,38.4,13.5,94.2,37.9,56.3,5.8,N,N,N,N
0500000US30063,"Missoula County, Montana",98.0,95.9,2.1,2.0,80.6,55.1,25.5,19.4,N,N,N,N
0500000US30111,"Yellowstone County, Montana",98.8,95.7,3.1,1.2,81.3,63.3,18.0,18.7,N,N,N,N
0500000US36045,"Jefferson County, New York",99.1,94.2,4.9,0.9,62.3,27.0,35.2,37.7,100.0,39.1,60.9,0.0
0500000US39063,"Hancock County, Ohio",98.8,85.0,13.8,1.2,64.5,41.7,22.8,35.5,N,N,N,N
0500000US39151,"Stark County, Ohio",99.4,75.0,24.4,0.6,49.9,15.1,34.8,50.1,N,N,N,N
0500000US42005,"Armstrong County, Pennsylvania",99.5,43.7,55.8,0.5,34.6,6.2,28.5,65.4,100.0,14.2,85.8,0.0
0500000US48139,"Ellis County, Texas",99.6,50.3,49.3,0.4,64.9,23.8,41.1,35.1,N,N,N,N
0500000US48201,"Harris County, Texas",99.2,91.3,7.8,0.8,65.3,43.2,22.0,34.7,N,N,N,N
0500000US48291,"Liberty County, Texas",99.3,39.4,59.9,0.7,42.9,14.8,28.1,57.1,N,N,N,N
0500000US48479,"Webb County, Texas",99.0,95.7,3.2,1.0,99.7,89.4,10.3,0.3,N,N,N,N
0500000US51095,"James City County, Virginia",99.3,42.5,56.8,0.7,N,N,N,N,N,N,N,N
0500000US51161,"Roanoke County, Virginia",99.2,36.1,63.1,0.8,50.9,11.4,39.5,49.1,N,N,N,N
0500000US55059,"Kenosha County, Wisconsin",73.2,54.3,18.9,26.8,94.4,29.5,64.9,5.6,100.0,30.3,69.7,0.0
0500000US06033,"Lake County, California",100.0,76.4,23.6,0.0,73.4,26.4,46.9,26.6,N,N,N,N
0500000US06075,"San Francisco County, California",99.4,77.6,21.8,0.6,100.0,77.6,22.4,0.0,N,N,N,N
0500000US08123,"Weld County, Colorado",98.7,57.1,41.6,1.3,83.1,25.9,57.2,16.9,N,N,N,N
0500000US12005,"Bay County, Florida",98.2,93.8,4.4,1.8,78.9,23.2,55.7,21.1,N,N,N,N
0500000US13015,"Bartow County, Georgia",99.5,53.5,46.0,0.5,25.4,4.9,20.4,74.6,N,N,N,N
0500000US20015,"Butler County, Kansas",98.6,48.7,49.9,1.4,69.7,23.2,46.6,30.3,N,N,N,N
0500000US20103,"Leavenworth County, Kansas",90.1,52.1,38.0,9.9,65.0,27.7,37.2,35.0,N,N,N,N
0500000US20161,"Riley County, Kansas",98.5,73.8,24.7,1.5,89.5,62.9,26.6,10.5,N,N,N,N
0500000US25015,"Hampshire County, Massachusetts",96.5,64.4,32.1,3.5,51.9,18.0,33.8,48.1,100.0,34.1,65.9,0.0
0500000US29031,"Cape Girardeau County, Missouri",96.7,85.6,11.1,3.3,69.2,42.3,27.0,30.8,N,N,N,N
0500000US36001,"Albany County, New York",98.9,78.0,20.9,1.1,51.6,19.9,31.7,48.4,100.0,33.5,66.5,0.0
0500000US36029,"Erie County, New York",99.4,93.9,5.5,0.6,65.4,21.5,44.0,34.6,100.0,33.9,66.1,0.0
0500000US37045,"Cleveland County, North Carolina",94.1,64.9,29.2,5.9,37.6,11.2,26.4,62.4,N,N,N,N
0500000US39109,"Miami County, Ohio",99.9,57.8,42.1,0.1,61.3,20.1,41.2,38.7,N,N,N,N
0500000US39145,"Scioto County, Ohio",93.4,72.0,21.4,6.6,48.9,17.5,31.4,51.1,N,N,N,N
0500000US41005,"Clackamas County, Oregon",98.4,52.7,45.7,1.6,69.3,15.9,53.4,30.7,N,N,N,N
0500000US45077,"Pickens County, South Carolina",98.2,54.5,43.7,1.8,44.0,11.6,32.4,56.0,N,N,N,N
0500000US47163,"Sullivan County, Tennessee",88.6,68.0,20.5,11.4,63.0,27.6,35.4,37.0,N,N,N,N
0500000US53027,"Grays Harbor County, Washington",99.7,85.4,14.3,0.3,77.9,29.0,49.0,22.1,N,N,N,N
0500000US72139,"Trujillo Alto Municipio, Puerto Rico",99.8,24.7,75.1,0.2,65.0,14.1,50.9,35.0,N,N,N,N
0500000US05031,"Craighead County, Arkansas",98.2,86.7,11.4,1.8,82.6,58.8,23.9,17.4,N,N,N,N
0500000US06071,"San Bernardino County, California",99.5,71.5,27.9,0.5,94.2,24.5,69.7,5.8,N,N,N,N
0500000US12099,"Palm Beach County, Florida",98.5,88.9,9.7,1.5,64.5,17.3,47.2,35.5,N,N,N,N
0500000US12107,"Putnam County, Florida",99.5,58.7,40.8,0.5,21.9,10.6,11.3,78.1,N,N,N,N
0500000US13117,"Forsyth County, Georgia",99.1,44.3,54.8,0.9,2.4,0.7,1.8,97.6,N,N,N,N
0500000US13121,"Fulton County, Georgia",98.5,74.1,24.4,1.5,100.0,41.9,58.1,0.0,N,N,N,N
