County,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New York,"19,378,102","19,378,144","19,399,878","19,499,241","19,572,932","19,624,447","19,651,049","19,654,666","19,633,428","19,589,572","19,530,351","19,453,561"
".Albany County, New York","304,204","304,208","304,086","304,596","305,723","306,589","307,151","307,433","307,597","307,717","306,585","305,506"
".Allegany County, New York","48,946","48,923","48,971","48,800","48,210","47,900","47,652","47,334","47,044","46,639","46,332","46,091"
".Bronx County, New York","1,385,108","1,384,580","1,387,298","1,397,335","1,411,496","1,421,928","1,430,942","1,440,005","1,444,417","1,440,625","1,432,087","1,418,207"
".Broome County, New York","200,600","200,675","200,481","199,363","198,667","197,914","197,251","195,928","194,498","193,100","191,925","190,488"
".Cattaraugus County, New York","80,317","80,337","80,218","79,815","79,348","78,996","78,677","77,926","77,658","77,176","76,726","76,117"
".Cayuga County, New York","80,026","80,008","79,895","79,693","79,505","79,088","78,762","78,298","77,674","77,457","77,121","76,576"
".Chautauqua County, New York","134,905","134,907","134,725","134,209","133,304","132,852","131,751","130,529","129,206","128,372","127,472","126,903"
".Chemung County, New York","88,830","88,847","88,895","88,899","89,137","88,199","87,177","86,705","85,644","84,736","83,935","83,456"
".Chenango County, New York","50,477","50,511","50,399","50,182","49,883","49,477","49,319","48,772","48,315","47,805","47,445","47,207"
".Clinton County, New York","82,128","82,131","82,096","81,728","81,714","81,523","81,463","80,718","80,500","80,531","80,679","80,485"
".Columbia County, New York","63,096","63,066","63,036","62,528","62,449","62,170","61,942","61,434","60,835","60,338","59,785","59,461"
".Cortland County, New York","49,336","49,290","49,279","49,380","49,023","48,905","48,740","48,290","47,915","47,815","47,722","47,581"
".Delaware County, New York","47,980","47,962","47,888","47,584","47,215","46,803","46,562","45,891","45,393","45,028","44,526","44,135"
".Dutchess County, New York","297,488","297,454","297,728","298,133","297,023","296,268","295,127","294,039","293,029","293,545","293,939","294,218"
".Erie County, New York","919,040","919,134","919,152","919,843","919,906","920,869","921,755","920,644","918,678","919,034","919,717","918,702"
".Essex County, New York","39,370","39,373","39,360","39,271","38,875","38,601","38,323","37,965","37,671","37,487","37,288","36,885"
".Franklin County, New York","51,599","51,601","51,645","51,545","51,791","51,212","51,096","50,540","51,081","50,465","50,279","50,022"
".Fulton County, New York","55,531","55,513","55,455","55,112","54,845","54,345","53,932","53,801","53,610","53,802","53,633","53,383"
".Genesee County, New York","60,079","59,934","59,928","59,880","59,672","59,112","58,725","58,462","58,013","57,798","57,487","57,280"
".Greene County, New York","49,221","49,214","49,139","48,857","48,587","48,308","47,964","47,616","47,494","47,442","47,381","47,188"
".Hamilton County, New York","4,836","4,841","4,851","4,826","4,803","4,766","4,700","4,699","4,556","4,471","4,432","4,416"
".Herkimer County, New York","64,519","64,469","64,470","64,386","64,227","63,883","63,384","62,652","62,436","62,163","61,713","61,319"
".Jefferson County, New York","116,229","116,232","116,592","117,752","120,235","118,490","117,971","116,371","112,980","113,157","111,866","109,834"
".Kings County, New York","2,504,700","2,504,721","2,509,828","2,540,817","2,568,450","2,587,684","2,601,513","2,608,794","2,608,423","2,594,676","2,578,074","2,559,903"
".Lewis County, New York","27,087","27,090","27,077","27,027","27,196","27,098","27,089","26,827","26,647","26,605","26,486","26,296"
".Livingston County, New York","65,393","65,206","65,240","64,849","64,796","64,627","64,585","64,344","64,000","63,483","63,213","62,914"
".Madison County, New York","73,442","73,452","73,440","72,887","72,414","72,457","72,210","71,636","71,387","70,942","71,117","70,941"
".Monroe County, New York","744,344","744,394","744,580","746,751","747,344","748,290","747,364","745,577","743,770","742,724","742,864","741,770"
".Montgomery County, New York","50,219","50,264","50,307","49,911","49,829","49,743","49,679","49,564","49,169","49,163","49,394","49,221"
".Nassau County, New York","1,339,532","1,339,880","1,341,669","1,346,223","1,349,616","1,352,193","1,354,705","1,354,840","1,355,952","1,357,293","1,357,534","1,356,924"
".New York County, New York","1,585,873","1,586,381","1,588,767","1,608,293","1,623,911","1,627,491","1,630,678","1,636,063","1,635,443","1,630,698","1,629,055","1,628,706"
".Niagara County, New York","216,469","216,480","216,475","215,719","214,713","214,105","213,305","212,358","211,554","210,848","210,060","209,281"
".Oneida County, New York","234,878","234,860","234,756","234,218","233,765","233,347","232,598","231,264","230,375","230,011","229,474","228,671"
".Onondaga County, New York","467,026","467,067","467,533","467,614","467,030","468,146","467,285","466,277","464,109","461,795","461,649","460,528"
".Ontario County, New York","107,931","108,099","108,176","108,599","108,611","109,044","109,334","109,271","109,229","109,538","109,738","109,777"
".Orange County, New York","372,813","372,826","373,445","374,097","373,699","374,320","374,845","375,803","377,799","379,758","382,126","384,940"
".Orleans County, New York","42,883","42,890","42,851","42,648","42,391","42,229","41,861","41,481","41,247","40,786","40,655","40,352"
".Oswego County, New York","122,109","122,105","122,137","121,981","121,458","121,170","120,590","119,735","118,895","118,427","117,515","117,124"
".Otsego County, New York","62,259","62,278","62,259","61,971","61,747","61,614","60,950","60,504","60,132","59,920","59,810","59,493"
".Putnam County, New York","99,710","99,654","99,667","99,827","99,625","99,572","99,438","99,185","98,761","98,856","98,814","98,320"
".Queens County, New York","2,230,722","2,230,619","2,234,701","2,255,482","2,272,222","2,287,185","2,298,736","2,305,838","2,306,830","2,295,808","2,274,605","2,253,858"
".Rensselaer County, New York","159,429","159,433","159,340","159,589","159,437","159,545","159,666","159,436","159,294","159,200","159,283","158,714"
".Richmond County, New York","468,730","468,730","469,615","471,021","470,614","471,803","471,937","472,349","474,040","475,671","476,260","476,143"
".Rockland County, New York","311,687","311,691","312,499","315,452","317,196","319,284","321,119","322,919","323,258","324,622","325,522","325,789"
".St. Lawrence County, New York","111,944","111,940","111,812","112,277","112,355","111,931","111,437","110,348","109,449","108,699","108,327","107,740"
".Saratoga County, New York","219,607","219,598","220,109","221,111","222,483","224,087","224,513","226,078","227,122","229,276","230,170","229,863"
".Schenectady County, New York","154,727","154,751","154,861","154,864","155,016","154,944","155,016","154,733","154,475","154,710","155,079","155,299"
".Schoharie County, New York","32,749","32,723","32,686","32,618","32,039","31,900","31,767","31,405","31,304","31,255","31,146","30,999"
".Schuyler County, New York","18,343","18,362","18,334","18,413","18,498","18,382","18,176","18,027","17,967","17,913","17,884","17,807"
".Seneca County, New York","35,251","35,248","35,266","35,380","35,388","35,250","34,879","34,801","34,710","34,246","34,179","34,016"
".Steuben County, New York","98,990","98,982","99,005","99,148","98,925","98,843","98,165","97,551","96,958","96,360","95,860","95,379"
".Suffolk County, New York","1,493,350","1,493,116","1,494,339","1,498,892","1,496,982","1,497,346","1,495,525","1,491,967","1,486,406","1,483,358","1,480,830","1,476,601"
".Sullivan County, New York","77,547","77,501","77,476","77,053","76,931","76,945","75,634","74,832","74,922","74,994","75,399","75,432"
".Tioga County, New York","51,125","51,049","51,008","50,875","50,278","50,103","49,824","49,355","48,824","48,609","48,441","48,203"
".Tompkins County, New York","101,564","101,592","101,740","101,821","102,726","103,553","103,391","103,006","102,942","102,664","102,419","102,180"
".Ulster County, New York","182,493","182,519","182,418","182,448","181,538","180,698","180,400","179,658","179,042","178,635","178,418","177,573"
".Warren County, New York","65,707","65,692","65,665","65,736","65,417","65,083","64,866","64,420","64,438","64,365","64,215","63,944"
".Washington County, New York","63,216","63,254","63,356","63,091","63,003","62,765","62,475","62,246","61,795","61,559","61,274","61,204"
".Wayne County, New York","93,772","93,751","93,751","93,256","93,029","92,339","91,801","91,291","90,758","90,429","90,200","89,918"
".Westchester County, New York","949,113","949,218","950,601","956,262","959,585","964,567","967,044","968,773","970,267","969,689","968,213","967,506"
".Wyoming County, New York","42,155","42,154","42,126","41,849","41,700","41,359","41,134","40,930","40,432","40,282","40,023","39,859"
".Yates County, New York","25,348","25,364","25,376","25,454","25,337","25,207","25,149","25,128","25,059","25,002","24,951","24,913"